,feature,target
0,"Israel's response was ""disproportionate This house believes that Israel's 2008-2009 military operations against Gaza were justified",0
1,A country has the right to decide that it chooses not to engage in economic relations or to give economic assistance to the other party to the conflict This house believes that Israel should lift the blockade of Gaza,0
2,Wind power uses little land This house believes that wind power should be a primary focus of future energy supply,1
3,"The open source community promotes the creation of software that is not proprietary, thus resulting in lower costs This house believes governments should choose open source software in order to encourage its use",1
4,"immigrants can ""swamp"" a local population This house believes that the right to asylum should not be absolute",1
5,An important limiting factor of wind power is variable power generated by wind farms This house believes that wind power should be a primary focus of future energy supply,0
6,Faith is divisive and dangerous This house believes atheism is the only way,1
7,"if everyone is left to their own economic devices instead of being controlled by the state, then the result would be a harmonious and more equal society This house would unleash the free market",1
8,adoption of open-source software models has resulted in savings This house believes governments should choose open source software in order to encourage its use,1
9,The cultivation of tobacco is economically detrimental to the countries that produce it This house believes that states should not subsidize the growing of tobacco,1
10,video game play is part of an adolescent boy's normal social setting This house believes that the sale of violent video games to minors should be banned,0
11,public education would be destroyed by tuition vouchers This house would fund education using a voucher scheme,0
12,economic sanctions and political pressure by Western countries on Burma was counter-productive and futile This house would re-engage with Myanmar,1
13,patent and copyright laws support in fundamental and thoroughgoing ways the expansion of the range of creative human activities that can be commodified This house would abolish intellectual property rights,0
14,Peoples have the right to the dignity and diversity of their cultures This house would embrace multiculturalism,1
15,Americans oppose a flag desecration amendment This house would prohibit burning the stars and stripes,0
16,"as outright prevention of doping is an impossibility, all doping should be legalised This house would permit the use of performance enhancing drugs in professional sports",1
17,Advertising is considered the most prevalent and toxic of the mental pollutants This house believes that advertising is harmful,1
18,There is no clear division between the force required to knock a person out and the force likely to kill a person This house would ban boxing,1
19,reduction of the population is a key to economic growth This house supports the one-child policy of the republic of China,1
20,the First Amendment protects such activity as symbolic speech This house would prohibit burning the stars and stripes,0
21,renewable energy is naturally replenished and not subject to the volatility of global fuel markets This house would build hydroelectric dams,1
22,democracy leads to less internal violence and mass murder by the government This house would promote democratization,1
23,The unregulated market is seen as an impractical ideal This house would unleash the free market,0
24,Population control is necessary for economic growth and improved living standards This house supports the one-child policy of the republic of China,1
25,Academics are demoralized by government interference with admissions procedures This house would encourage the creation of private universities in the UK,1
26,Multiculturalism results in political corruption This house would embrace multiculturalism,0
27,The benefits of the dams are not only limited to hydropower This house would build hydroelectric dams,1
28,The church..has to respect responsible decision-making by couples This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,0
29,electricity produced from hydroelectric generation does not give rise to any flue gas emissions from fossil fuel combustion This house would build hydroelectric dams,1
30,"the Israeli soldiers at best failed to protect civilians, and at worst deliberately shot at them This house believes that Israel's 2008-2009 military operations against Gaza were justified",0
31,Affirmative action aims to correct the effects of past and present discrimination This house believes in the use of affirmative action,1
32,the formal economy in Gaza has collapsed since the imposition of the blockade This house believes that Israel should lift the blockade of Gaza,1
33,Historical racism continues to be reflected in socio-economic inequality This house believes in the use of affirmative action,1
34,Hydro plants are able to act as load following power plants This house would build hydroelectric dams,1
35,laws against flag-burning are constitutional This house would prohibit burning the stars and stripes,1
36,Israel's actions on the Gaza Strip must be characterised as war crimes This house believes that Israel's 2008-2009 military operations against Gaza were justified,0
37,human economic productivity is largely reliant on Earth's ecosystems This house believes that endangered species should be protected,1
38,no rights should ever be allowed to be taken away by the government This house would limit the right to bear arms,0
39,most of the world's major economies are resorting to protectionist measures as the global economic slowdown begins to bite This house would unleash the free market,0
40,foreign aid is seen to be serving the interests of the donor more than the recipient This house would subsidize poor communities,0
41,the work of Holocaust deniers should be protected by a universal right to free speech This house believes that Holocaust denial should be a criminal offence,0
42,Reinforcement of sexist stereotypes has been claimed as an effect of violent video games This house believes that the sale of violent video games to minors should be banned,1
43,government intervention creates more problems than it is supposed to solve This house would unleash the free market,1
44,Monarchy provides a safeguard against government instability This house would abolish the monarchy,0
